model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-100k,100421.0,last_layer,kron,0.0099999997764825,1.3959528,1.418425,0.3961743,0.40221897,0.502503359375,0.5410927469730378,0.138873779296875,1100,0.9253152547144283,0.13915287256548559,4.9535932540893555
ConvNN-118k,118551.0,last_layer,kron,0.0099999997764825,1.4756836,1.5066997,0.26293573,0.26809004,0.3739895703125,0.4124004594135284,0.144310419921875,1180,1.0577154441381462,0.14458962192547278,6.649758338928223
ConvNN-138k,138364.0,last_layer,kron,0.0099999997764825,1.5998075,1.6408521,0.21136458,0.21632627,0.328416171875,0.3669555536365509,0.150629287109375,1270,1.1834265354530193,0.15090861549284415,8.18053150177002
ConvNN-153k,153738.0,last_layer,kron,0.0099999997764825,1.5699451,1.6181388,0.1803115,0.18493266,0.30140228515625,0.3388870390367507,0.153954375,1350,1.2016317625908082,0.15423376988655702,8.316926956176758
ConvNN-175k,175981.0,last_layer,kron,0.0099999997764825,1.6790289,1.7374709,0.14561741,0.14985253,0.27258333984375,0.3100043455743789,0.16015181640625,1430,1.3217516780022494,0.16043133524411418,9.986339569091797
ConvNN-193k,193491.0,last_layer,kron,0.0099999997764825,1.7674193,1.8415087,0.12237229,0.12632734,0.2537017578125,0.2896543866157531,0.16332705078125,1520,1.421613434841323,0.16360663312507182,11.432356834411621
ConvNN-218k,218355.0,last_layer,kron,0.0099999997764825,1.8118411,1.9155302,0.083699204,0.08721867,0.2189827734375,0.2540319142246246,0.1668132421875,1600,1.5187852300858145,0.16709289425654442,13.159100532531738
ConvNN-244k,244962.0,last_layer,kron,0.0099999997764825,2.0053337,2.151631,0.05969178,0.062970094,0.19638806640625,0.2288177311015129,0.16584763671875,1690,1.6978440929968484,0.1661272694752988,15.958223342895508
ConvNN-265k,265295.0,last_layer,kron,0.0099999997764825,1.9379492,2.0987513,0.055658445,0.05920243,0.19467224609375,0.2242403195321559,0.165037890625,1770,1.6598744067371212,0.165317507186303,15.222259521484375
ConvNN-294k,294272.0,last_layer,kron,0.0099999997764825,2.013653,2.2230992,0.047179125,0.050850794,0.18788529296875,0.2154998757505417,0.16464908203125,1850,1.7569739794439803,0.1649286908162256,16.97390365600586
ConvNN-316k,316801.0,last_layer,kron,0.0099999997764825,2.081475,2.3645756,0.038802583,0.04321736,0.178443046875,0.2042960719108581,0.1610787109375,1940,1.8699328631100562,0.16135824831362555,19.85796356201172
