model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-265k,265295.0,last_layer,kron,19.326810836791992,1.9639345,2.090487,0.052873626,0.05527774,0.09148564453125,64.33392273872018,64.278645,1770,2.090732875437693,64.28020691434945,15.133293151855469
ConvNN-294k,294272.0,last_layer,kron,19.34708595275879,2.0522544,2.2112138,0.043543838,0.04576355,0.08015287109375,59.72013354846359,59.67437,1850,2.212012675759053,59.6758398270077,16.836545944213867
ConvNN-316k,316801.0,last_layer,kron,19.032835006713867,2.1424098,2.345416,0.03353244,0.035651114,0.066571142578125,51.87355611383796,51.837905,1940,2.3459528175862094,51.83921809457305,19.631927490234375
ConvNN-348k,348399.0,last_layer,kron,18.53150177001953,2.036037,2.262676,0.02978958,0.031979807,0.060651943359375,45.94670480672121,45.914725,2020,2.263485378412871,45.91591962860373,18.68825912475586
ConvNN-381k,381800.0,last_layer,kron,17.565143585205078,1.964406,2.2375395,0.024259543,0.026577717,0.0503206201171875,35.96734271669328,35.940765,2110,2.237516219310391,35.941760145414065,19.173444747924805
ConvNN-407k,407092.0,last_layer,kron,18.28792762756348,1.9358094,2.2037237,0.025817307,0.02819316,0.0540608984375,41.438103160891536,41.40991,2190,2.2043979156372293,41.411014530501774,18.103687286376953
ConvNN-442k,442803.0,last_layer,kron,18.62149810791016,2.0191197,2.337753,0.02514061,0.027980449,0.051833876953125,41.22263294867813,41.1946525,2270,2.3380834099946943,41.19575272526566,19.851207733154297
ConvNN-470k,470351.0,last_layer,kron,19.289417266845703,1.9763882,2.2976217,0.02499661,0.027843956,0.0522645068359375,44.41335395590424,44.38551,2360,2.298547823516102,44.38667404369203,19.80364418029785
ConvNN-508k,508683.0,last_layer,kron,19.004196166992188,1.9615599,2.3030338,0.023977518,0.027016904,0.049571201171875,41.24079190420508,41.213775,2440,2.303250167564442,41.214875607723314,19.93372344970703
ConvNN-548k,548878.0,last_layer,kron,18.645273208618164,1.9116771,2.259916,0.023152605,0.02607181,0.04777373046875,38.28007930923224,38.2540075,2530,2.2591040713063917,38.255048911189384,19.09857177734375
ConvNN-579k,579129.0,last_layer,kron,19.07257652282715,1.82224,2.1698546,0.02355458,0.026675286,0.047905380859375,39.95291278577149,39.9262375,2610,2.1698839660750053,39.92731235645829,18.478931427001953
ConvNN-621k,621574.0,last_layer,kron,19.305320739746094,1.7603345,2.105405,0.023372618,0.02647717,0.04711001953125,39.52428966924548,39.4978125,2690,2.106057002264965,39.498878787786914,17.151079177856445
ConvNN-654k,654141.0,last_layer,kron,19.12905502319336,1.8592451,2.213391,0.023258679,0.026300127,0.046937080078125,39.32299012668669,39.29669,2780,2.2142849427330904,39.29775226525646,18.91448974609375
ConvNN-699k,699207.0,last_layer,kron,19.47754669189453,1.8376765,2.2184489,0.023719948,0.027035022,0.046684765625,40.23818002215445,40.211145,2860,2.2180111045706106,40.21222555472225,17.982196807861328
ConvNN-746k,746196.0,last_layer,kron,18.912466049194336,1.7232441,2.0632997,0.022981538,0.025936237,0.045359375,36.864553736605046,36.8386175,2950,2.0636073443674943,36.83963060282321,16.476341247558594
ConvNN-781k,781406.0,last_layer,kron,19.658296585083008,1.6924487,2.0346556,0.022864,0.025871083,0.045620341796875,39.517193583140376,39.4913225,3030,2.0363945123022025,39.49238865798432,16.130828857421875
ConvNN-830k,830585.0,last_layer,kron,20.10873794555664,1.7407503,2.1020129,0.023532905,0.026701303,0.0467454443359375,42.242391303198936,42.21569,3110,2.1043939416569746,42.216810646424086,16.608997344970703
ConvNN-868k,868171.0,last_layer,kron,19.60997772216797,1.6581745,1.996085,0.023151752,0.026244411,0.0455601513671875,39.69565941124499,39.669415,3200,1.9956869470780911,39.67048471990556,15.868654251098633
ConvNN-919k,919971.0,last_layer,kron,18.90299415588379,1.664065,2.0011237,0.02236497,0.025161035,0.0434479541015625,35.5945235353589,35.5693625,3280,2.0020204070882737,35.5703502172155,15.606538772583008
ConvNN-973k,973754.0,last_layer,kron,20.03138732910156,1.6380702,1.976778,0.023292879,0.026412036,0.0458305126953125,41.281072036269904,41.25466,3370,1.978159137229132,41.255761425439665,15.248322486877441
ConvNN-1013k,1013923.0,last_layer,kron,19.418067932128903,1.6061853,1.9530424,0.02283583,0.02590262,0.04427279296875,38.4453626195854,38.41946,3450,1.9538144060984382,38.420504720305566,14.9399995803833
ConvNN-1069k,1069836.0,last_layer,kron,19.070735931396484,1.5939611,1.9217867,0.022750588,0.025607957,0.044172138671875,36.98529545657337,36.9596875,3530,1.9225586593604982,36.960703024271645,14.42437744140625
